City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rikitea,-23.1203,-134.9692,75.47,81,99,14.25,PF,12/05/22
1,werda,-25.2667,23.2833,73.74,10,0,11.41,BW,12/05/22
2,mandalgovi,45.7625,106.2708,4.35,42,0,8.03,MN,12/05/22
3,nuuk,64.1835,-51.7216,41.61,65,75,24.16,GL,12/05/22
4,souillac,-20.5167,57.5167,77.38,78,40,10.36,MU,12/05/22
5,atuona,-9.8,-139.0333,77.45,75,92,16.49,PF,12/05/22
6,kudahuvadhoo,2.6708,72.8944,79.48,77,100,2.15,MV,12/05/22
7,dikson,73.5069,80.5464,24.33,96,100,14.25,RU,12/05/22
8,san patricio,28.017,-97.5169,81.07,57,65,14.92,US,12/05/22
9,morondava,-20.2833,44.2833,73.15,87,13,10.02,MG,12/05/22
10,bossangoa,6.4926,17.4552,79.45,33,46,2.82,CF,12/05/22
11,husavik,66.0449,-17.3389,31.37,80,91,9.75,IS,12/05/22
12,bilma,18.6853,12.9164,75.18,18,2,4.9,NE,12/05/22
13,ushuaia,-54.8,-68.3,45.91,63,79,6.53,AR,12/05/22
14,port alfred,-33.5906,26.891,59.18,93,0,1.99,ZA,12/05/22
15,castro,-24.7911,-50.0119,74.37,78,58,6.4,BR,12/05/22
16,olafsvik,64.8945,-23.7142,39.65,78,21,5.06,IS,12/05/22
17,vicente guerrero,19.1194,-98.1708,72.79,32,0,8.21,MX,12/05/22
18,busselton,-33.65,115.3333,56.53,76,1,12.88,AU,12/05/22
19,punta arenas,-53.15,-70.9167,50.11,43,75,20.71,CL,12/05/22
20,hobart,-42.8794,147.3294,54.27,69,75,12.66,AU,12/05/22
21,ambilobe,-13.2,49.05,76.17,83,31,0.87,MG,12/05/22
22,qaanaaq,77.484,-69.3632,31.28,85,100,13.65,GL,12/05/22
23,kayerkan,69.3497,87.7602,23.11,96,100,16.55,RU,12/05/22
24,paamiut,61.994,-49.6678,38.17,72,100,36.8,GL,12/05/22
25,hithadhoo,-0.6,73.0833,81.37,76,100,7.96,MV,12/05/22
26,nome,64.5011,-165.4064,28.47,86,75,12.66,US,12/05/22
27,chenzhou,25.8,113.0333,39.06,95,100,2.84,CN,12/05/22
28,iqaluit,63.7506,-68.5145,4.6,95,100,2.37,CA,12/05/22
29,vaini,-21.2,-175.2,80.76,83,75,9.22,TO,12/05/22
30,teguldet,57.3064,88.1667,-1.32,96,100,6.02,RU,12/05/22
31,bluff,-46.6,168.3333,50.81,78,87,7.58,NZ,12/05/22
32,lipari,38.4674,14.954,57.27,66,90,3.96,IT,12/05/22
33,hermanus,-34.4187,19.2345,57.79,64,100,3.18,ZA,12/05/22
34,albany,42.6001,-73.9662,44.38,46,100,7.0,US,12/05/22
35,weligama,5.9667,80.4167,75.45,88,100,0.98,LK,12/05/22
36,honningsvag,70.9821,25.9704,38.95,81,75,11.5,NO,12/05/22
37,arraial do cabo,-22.9661,-42.0278,76.86,73,40,12.66,BR,12/05/22
38,mataura,-46.1927,168.8643,50.49,99,100,2.59,NZ,12/05/22
